Year,Total_M,Total_F,Element_M,Element_F,Junior_M,Junior_F,Senior_M,Senior_F,Voc_M,Voc_F,Spe_M,Spe_F,College_M,College_F,Master_M,Master_F
2006,3.9,3.6,2.9,2.7,3.7,2.7,3.7,3.8,4.4,4.1,3.6,3.4,4.7,4.1,0,0
2007,3.8,3.8,7.1,3.7,3.7,3.3,3.6,4.6,4.1,4.8,3.5,2.8,4.2,4.2,0,0
2008,4.2,3.8,6.7,6.4,4.5,4,3.6,4.6,4.8,3.7,4,2.6,4.4,4.9,0,0
2009,6.5,5.1,13.2,4.7,6.9,5.3,5.5,4.7,7.6,5.1,6,4.5,5.8,6.1,0,0
2010,5.9,4.4,3.9,2,6.4,4.3,6.2,4.9,6.7,4.6,5.5,4,5.5,5.1,0,0
2011,4.9,3.8,2.7,1.2,5.7,2.8,4.7,3.5,5.4,4.4,4.9,2.6,5.1,5.1,2.8,3.7
2012,4.8,3.6,3.2,1.1,4.1,2.1,6.7,3.2,5.2,4.4,4,3.2,5.4,4.4,3.3,3
2013,4.6,3.7,2.1,1.5,5.1,2.8,4.4,4.7,5.3,3.5,3.9,3.7,5.2,4.6,2.7,2.5
2014,4.2,3.6,2,1.5,4.1,1.8,4.5,4.4,3.8,3.2,3.7,3.2,6.1,5.1,3.1,2.1
2015,3.8,3.6,1.8,2.4,2.5,1.4,4.2,5.1,4.6,2.8,3,3.1,5.6,5,2.4,2.7
2016,4.5,3.3,2.3,0,4.2,1.7,4.6,2.2,4.5,3.8,4,2.4,6.3,4.4,2.3,2.8
